category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7933,0.221,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7945,0.114,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7995,0.133,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.8046,0.1001,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61535->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289081.8069,0.2072,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4331,7.4832,SYN-SYNACK
HTTPS / Remote (Port 443),192.168.29.15:61538->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289085.4408,7.1809,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4416,0.2351,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61538->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289085.4506,6.3629,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61538->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289085.4514,6.6562,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4521,0.9041,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4523,0.6309,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4612,0.2429,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61538->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289085.4625,9.9721,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4632,0.9782,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4634,0.4241,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4818,3.4912,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4819,0.788,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.482,0.334,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4886,2.9988,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4887,1.591,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4888,0.4368,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4889,0.4058,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4916,1.09,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4917,0.2072,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.4984,2.5811,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.5077,5.0859,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.5109,1.508,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.511,0.2029,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.5113,0.1061,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.516,0.16,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61538,20.207.73.82,192.168.29.15,1775289085.5206,0.119,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61538->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289085.5302,0.2172,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.30:443->192.168.29.15:64234,17.8.135.30,192.168.29.15,1775289101.312,10.036,SYN-SYNACK
HTTPS / Remote (Port 443),192.168.29.15:64234->17.8.135.30:443,192.168.29.15,17.8.135.30,1775289101.3246,11.6801,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.30:443->192.168.29.15:64234,17.8.135.30,192.168.29.15,1775289101.3264,0.2403,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:64234->17.8.135.30:443,192.168.29.15,17.8.135.30,1775289101.3378,8.2476,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.30:443->192.168.29.15:64234,17.8.135.30,192.168.29.15,1775289101.3383,0.2131,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:64234->17.8.135.30:443,192.168.29.15,17.8.135.30,1775289101.3398,9.9821,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.30:443->192.168.29.15:64234,17.8.135.30,192.168.29.15,1775289101.34,0.247,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:64234->17.8.135.30:443,192.168.29.15,17.8.135.30,1775289101.3499,9.6288,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.30:443->192.168.29.15:64234,17.8.135.30,192.168.29.15,1775289101.3502,0.3273,DATA-ACK
Unknown TCP,192.168.29.128:62078->192.168.29.15:61542,192.168.29.128,192.168.29.15,1775289106.4912,8.4181,SYN-SYNACK
Unknown TCP,192.168.29.128:62078->192.168.29.15:61604,192.168.29.128,192.168.29.15,1775289120.393,11.9529,SYN-SYNACK
