category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.818845,0.067,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.821292,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.821945,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.824067,0.025,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.825558,0.0279,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.827782,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.829386,0.0269,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.83102,0.035,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.833331,0.03,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.835836,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.838241,0.0222,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.839982,0.0341,DATA-ACK
